id,descricao,aprovacao,data,ultimaApresentacaoProposicao_idProposicao,ultimaApresentacaoProposicao_descricao,Type,E_Number,PL_number,PL_year,materia,author,year
102569-61,"Aprovada a Emenda de Redação de Srs. Líderes, que inclui a palavra ""apenas"" no § 11 do art. 27, constante do art. 1º do PLV 1/03.",1.0,2003-03-18,106259,"Leitura do Parecer pelo Relator, Dep. Gervásio Silva, designado pela Presidência na Sessão Ordinária do dia 11/03/03, para oferecer parecer a esta MPV e às 20 emendas a ela apresentadas na Comissão Mista do Congresso Nacional, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa, pelo atendimento dos pressupostos constitucionais de relevância e urgência, pela adequação financeira e orçamentária e, no mérito, pela aprovação desta MPV, na forma do Projeto de Lei de Conversão apresentado e rejeição das emendas de nºs. 1 a 20.",Emenda,11,79,2002,49877,Luiz Otavio,2003
105505-23,"Rejeitadas as Emendas de nºs 1 a 5 apresentadas na Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, com parecer pela rejeição.",0.0,2003-04-01,109185,"Parecer Proferido em Plenário, Dep. Laura Carneiro, pela Comissão Mista de Planos, Orçamentos Públicos e Fiscalização, que conclui pela constitucionalidade, juridicidade e técnica legislativa; pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária e, no mérito, pela aprovação desta, e pela rejeição da EMC 1 CM, da EMC 2 CM, da EMC 3 CM, da EMC 4 CM, e da EMC 5 CM.",Emenda,1,105,2003,56283,Ana Júlia Carepa,2003
14312-64,"Rejeitadas em globo as Emendas de nºs. 1, 2, 3, 4 e 5, apresentadas na Comissão Especial, com parecer pela rejeição, ressalvado o destaque.
Sim: 2; Não: 424; Abst.: 1; Total: 427.",0.0,2003-04-02,0,"Apresentação do Requerimento, REQ 15, pelo Dep. Orlando Desconsi",Emenda,1,53,1999,1199,Mozarildo Cavalcanti,2003
14312-65,"Aprovada a Proposta de Emenda à Constituição nº 53, de 2003, em 1º turno.
Sim: 442; Não: 13; Abst.: 17; Total: 472 .",1.0,2003-04-02,0,"Apresentação do Requerimento, REQ 15, pelo Dep. Orlando Desconsi",Emenda,53,53,1999,1199,Mozarildo Cavalcanti,2003
105485-40,"Rejeitada a Emenda nº 1, apresentada na Comissão Mista do Congresso Nacional, com parecer pela rejeição.",0.0,2003-04-09,110540,"Parecer Proferido em Plenário, Dep. Ney Lopes, pela constitucionalidade, juridicidade e técnica legislativa; pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária e, no mérito, pela aprovação desta MPV e rejeição da Emenda nº 1, com Emenda de Redação.",Emenda,1,91,2002,49991,Ari Stadler,2003
105485-43,"Aprovada a Emenda de Redação apresentada pelo Relator, com voto contrário do Dep. Arnaldo Faria de Sá.",1.0,2003-04-09,110540,"Parecer Proferido em Plenário, Dep. Ney Lopes, pela constitucionalidade, juridicidade e técnica legislativa; pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária e, no mérito, pela aprovação desta MPV e rejeição da Emenda nº 1, com Emenda de Redação.",Emenda,1,91,2002,49991,Ari Stadler,2003
104938-65,"Aprovadas as Emendas de nºs 1 a 4, do Senado Federal, ao Projeto de Lei de Conversão nº 2, de 2003, com parecer favorável.",1.0,2003-04-14,259787,"Parecer às Emendas ou ao Substitutivo do Senado, Dep. Rafael Guerra, pela constitucionalidade, juridicidade e técnica legislativa, pela admissibilidade, pela adequação financeira e orçamentária, e, no mérito, pela aprovação das Emendas apresentadas pelo Senado.",Emenda,1,83,2002,49905,Moreira Mendes,2003
105503-72,"Aprovada a Emenda de Redação nº 1, oferecida pelo Relator.",1.0,2003-04-16,114911,"Apresentação do Projeto de Lei de Conversão, PLV 7/2003, pelo Dep. Zenaldo Coutinho",Emenda,1,103,2003,56280,Íris de Araújo,2003
105503-73,"Aprovada a Emenda de Redação nº 2, oferecida pelo Relator.",1.0,2003-04-16,114911,"Apresentação do Projeto de Lei de Conversão, PLV 7/2003, pelo Dep. Zenaldo Coutinho",Emenda,2,103,2003,56280,Íris de Araújo,2003
104934-65,"Aprovado as Emendas do Senado Federal ao Projeto de Lei de Conversão nº 3, de 2003.",1.0,2003-04-23,0,"Parecer Proferido em Plenário, Dep. Pedro Chaves, pela constitucionalidade, juridicidade e técnica legislativa;pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária e, no mérito, pela aprovação das Emendas de nºs 1, 2, 3 e 4 do Senado Federal ao Projeto de Lei de Conversão nº 3, de 2003.",Emenda,3,82,2002,49904,Mauro Miranda,2003
105490-69,Rejeitada a Emenda nº 1.,0.0,2003-04-23,114899,"Apresentação do Projeto de Lei de Conversão, PLV 9/2003, pelo Dep. Eduardo Gomes",Emenda,1,94,2002,50023,Carlos Bezerra,2003
105507-82,Rejeitada a Emenda nº 43.,0.0,2003-05-06,114748,"Apresentação do Projeto de Lei de Conversão, PLV 11/2003, pelo Dep. Professor Luizinho",Emenda,43,107,2003,56497,Paulo Paim,2003
105507-117,"Aprovada a Emenda nº 22 à esta MPV, objeto de Requerimento do Relator, Dep. Professor Luizinho, subscrito por todos os Srs. Líderes.",1.0,2003-05-06,114748,"Apresentação do Projeto de Lei de Conversão, PLV 11/2003, pelo Dep. Professor Luizinho",Emenda,22,107,2003,56497,Paulo Paim,2003
105501-61,"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária desta MPV e das Emendas nºs. 10 e 11, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0,2003-05-07,114354,"Parecer Proferido em Plenário, Dep. André de Paula, pela constitucionalidade, juridicidade e técnica legislativa, pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária desta MPV e das Emendas de nºs. 10 e 11, pela inadequeção das Emendas de nºs. 1 a 9 e 12 a 19; e, no mérito, pela aprovação desta MPV e rejeição das Emendas de nºs 1 a 19.",Emenda,10,101,2002,50085,Lauro Campos,2003
105501-66,"Rejeitadas as Emendas de nºs 10 e 11, apresentadas na Comissão Mista do Congresso Nacional, com parecer pela rejeição.",0.0,2003-05-07,114354,"Parecer Proferido em Plenário, Dep. André de Paula, pela constitucionalidade, juridicidade e técnica legislativa, pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária desta MPV e das Emendas de nºs. 10 e 11, pela inadequeção das Emendas de nºs. 1 a 9 e 12 a 19; e, no mérito, pela aprovação desta MPV e rejeição das Emendas de nºs 1 a 19.",Emenda,10,101,2002,50085,Lauro Campos,2003
105501-62,"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência, e da inadequação financeira e orçamentária das Emendas de nºs 1 a 9 e 12 a 19, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0,2003-05-07,114354,"Parecer Proferido em Plenário, Dep. André de Paula, pela constitucionalidade, juridicidade e técnica legislativa, pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária desta MPV e das Emendas de nºs. 10 e 11, pela inadequeção das Emendas de nºs. 1 a 9 e 12 a 19; e, no mérito, pela aprovação desta MPV e rejeição das Emendas de nºs 1 a 19.",Emenda,1,101,2002,50085,Lauro Campos,2003
109266-27,"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência, e da adequação financeira e orçamentária desta MPV e das Emendas de nºs 1, 2, 3, 5 a 8 e 10, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0,2003-05-08,114575,"Parecer Proferido em Plenário, Dep. Asdrubal Bentes, pela constitucionalidade, juridicidade e técnica legislativa; pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária desta MPV, das Emendas de nºs 1, 2, 3, 5 a 8 e 10 e inadequação das Emendas de nºs 4 e 9; e, no mérito, pela aprovação desta MPV na forma do Projeto de Lei de Conversão apresentado e rejeição das Emendas de nºs 1 a 10.",Emenda,1,110,2003,56500,Aloizio Mercadante,2003
109266-28,"Aprovado, em apreciação preliminar, o Parecer do Relator, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência, e da inadequação financeira e orçamentária das Emendas de nº 4 e 9, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0,2003-05-08,114575,"Parecer Proferido em Plenário, Dep. Asdrubal Bentes, pela constitucionalidade, juridicidade e técnica legislativa; pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária desta MPV, das Emendas de nºs 1, 2, 3, 5 a 8 e 10 e inadequação das Emendas de nºs 4 e 9; e, no mérito, pela aprovação desta MPV na forma do Projeto de Lei de Conversão apresentado e rejeição das Emendas de nºs 1 a 10.",Emenda,4,110,2003,56500,Aloizio Mercadante,2003
109946-31,"Rejeitada a Emenda nº 1, com parecer pela rejeição.",0.0,2003-05-13,115170,"Parecer Proferido em Plenário, Dep. Daniel Almeida, pela constitucionalidade, juridicidade e técnica legislativa; pelo atendimento dos pressupostos constitucionais de relevância e urgência; pela adequação financeira e orçamentária e, no mérito, pela aprovação desta MPV e rejeição da Emenda nº 1.",Emenda,1,111,2003,56501,Aloizio Mercadante,2003
