"uri";"sigla";"apelido";"nome";"nomePublicacao";"codTipoOrgao";"tipoOrgao";"dataInicio";"dataInstalacao";"dataFim";"dataFimOriginal";"codSituacao";"descricaoSituacao";"casa";"sala";"urlWebsite"
"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"MESA";"Mesa Diretora";"Mesa Diretora da Câmara dos Deputados";"Mesa Diretora";"1";"Comissão Diretora";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"Plenário";"Plenário";"Plenário";"26";"Plenário Virtual";"2020-03-20T00:00:00";"2020-03-20T00:00:00";"";"";"3";"Constituída";"";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/186";"CCP";"COORDENAÇÃO DE COMISSÕES PERMANENTES";"COORDENAÇÃO DE COMISSÕES PERMANENTES";"COORDENAÇÃO DE COMISSÕES PERMANENTES";"12000";"Órgão da Câmara dos Deputados";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/209";"PTCOM";"PODER CONCLUSIVO NAS COMISSÕES";"PODER CONCLUSIVO NAS COMISSÕES";"PODER CONCLUSIVO NAS COMISSÕES";"12000";"Órgão da Câmara dos Deputados";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/249";"PC";"PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS";"PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS";"PRESIDÊNCIA DA CÂMARA DOS DEPUTADOS";"12000";"Órgão da Câmara dos Deputados";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/301";"CM";"CONSELHO DE MINISTROS";"CONSELHO DE MINISTROS";"CONSELHO DE MINISTROS";"12000";"Órgão da Câmara dos Deputados";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/302";"PCM";"PCM";"PCM";"PCM";"12000";"Órgão da Câmara dos Deputados";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/325";"MIC";"MIC";"MIC";"MIC";"12000";"Órgão da Câmara dos Deputados";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/340";"COFF";"Consultoria de Orçamento e Fiscalização Financeira da Câmara";"Consultoria de Orçamento e Fiscalização Financeira da Câmara dos Deputados";"Consultoria de Orçamento e Fiscalização Financeira da Câmara";"12000";"Órgão da Câmara dos Deputados";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/399";"CMIN";"CONSELHO DE MINISTÉRIOS";"CONSELHO DE MINISTÉRIOS";"CONSELHO DE MINISTÉRIOS";"12000";"Órgão da Câmara dos Deputados";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/481";"CESPACT";"CESP - APLICAÇÃO DO CODIGO DE TRANSITO";"CESP - APLICAÇÃO DO CODIGO DE TRANSITO";"CESP - APLICAÇÃO DO CODIGO DE TRANSITO";"6";"Comissão Mista Permanente";"";"";"";"";"";"";"Congresso Nacional";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/1002";"CCT";"Coordenação de Comissões Temporárias";"Coordenação de Comissões Temporárias";"Coordenação de Comissões Temporárias";"12000";"Órgão da Câmara dos Deputados";"";"";"";"";"";"";"Câmara dos Deputados";"";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/2001";"CAPADR";"Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural";"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural";"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural";"2";"Comissão Permanente";"2011-03-02T00:00:00";"2024-03-06T00:00:00";"";"";"3";"Constituída";"Câmara dos Deputados";"Sala 32-C, Térreo, Anexo II";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/2002";"CCTI";"Ciência, Tecnologia e Inovação";"Comissão de Ciência, Tecnologia e Inovação";"Comissão de Ciência, Tecnologia e Inovação";"2";"Comissão Permanente";"2011-03-02T00:00:00";"2024-03-13T00:00:00";"";"";"4";"Instalada";"Câmara dos Deputados";"Sala 49-A, Térreo, Anexo II";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"CCJC";"Constituição e Justiça e de Cidadania";"Comissão de Constituição e Justiça e de Cidadania";"Comissão de Constituição e Justiça e de Cidadania";"2";"Comissão Permanente";"2011-03-02T00:00:00";"2024-03-06T00:00:00";"";"";"3";"Constituída";"Câmara dos Deputados";"Sala 21-A, Térreo, Anexo II";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/2004";"CDC";"Defesa do Consumidor";"Comissão de Defesa do Consumidor";"Comissão de Defesa do Consumidor";"2";"Comissão Permanente";"2011-03-02T00:00:00";"2024-03-06T00:00:00";"";"";"3";"Constituída";"Câmara dos Deputados";"Anexo II, Pav. Superior, Ala C, sala 152";""
"https://dadosabertos.camara.leg.br/api/v2/orgaos/2006";"CDU";"Desenvolvimento Urbano";"Comissão de Desenvolvimento Urbano";"Comissão de Desenvolvimento Urbano";"2";"Comissão Permanente";"2011-03-02T00:00:00";"2024-04-24T00:00:00";"";"";"4";"Instalada";"Câmara dos Deputados";"Anexo II, Pav. Superior, Ala C, sala 188";""
