"idGrupo";"uriGrupo";"nomeGrupo";"anoCriacao";"projetoTitulo";"projetoUri";"resolucaoTitulo";"resolucaoUri";"subvencionado";"grupoMisto";"ativo";"observacao";"ultimoStatus_idLegislatura";"ultimoStatus_dataStatus";"ultimoStatus_presidenteNome";"ultimoStatus_presidenteUri";"ultimoStatus_documento";"ultimoStatus_oficioTitulo";"ultimoStatus_oficioUri";"ultimoStatus_oficioAutorTipo";"ultimoStatus_oficioAutorNome";"ultimoStatus_oficioAutorUri";"ultimoStatus_oficioDataApresentacao";"ultimoStatus_oficioDataPublicacao"
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"1993";"86/1991";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/236003";"27/1993";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"MARCELO CRIVELLA";"https://dadosabertos.camara.leg.br/api/v2/deputados/220599";"233/2023";"";"";"Deputado(a)";"Marcelo Crivella";"https://dadosabertos.camara.leg.br/api/v2/deputados/220599";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"";"";"";"";"";"0";"1";"1";"Grupo criado por Publicação no Diário do Congresso Nacional. Não há Resolução.";"57";"2023-02-02T00:00:00";"JULIO CESAR RIBEIRO";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"236/2023";"";"";"Deputado(a)";"Julio Cesar Ribeiro";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"1989";"142/1989";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/236592";"8/1989";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"MÁRCIO MARINHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"235/2023";"";"";"Deputado(a)";"Márcio Marinho";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"2005";"272/2005";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/305879";"36/2005";"";"0";"1";"1";"";"57";"2023-08-30T00:00:00";"FLÁVIO NOGUEIRA";"https://dadosabertos.camara.leg.br/api/v2/deputados/191923";"1538/2023";"33/2023";"";"Deputado(a)";"Flávio Nogueira";"https://dadosabertos.camara.leg.br/api/v2/deputados/191923";"2023-06-12T00:00:00";"2023-08-30T00:00:00"
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"2003";"165/1997";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21806";"5/2003";"";"0";"1";"1";"";"57";"2023-02-10T00:00:00";"ARLINDO CHINAGLIA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"388/2023";"";"";"Deputado(a)";"Arlindo Chinaglia";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"2023-02-10T00:00:00";"2023-02-10T00:00:00"
"8";"https://dadosabertos.camara.leg.br/api/v2/grupos/8";"Brasil/Argentina/Uruguai/Paraguai";"1996";"89/1996";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/236036";"11/1996";"";"0";"1";"1";"";"57";"2023-02-10T00:00:00";"ARLINDO CHINAGLIA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"393/2023";"";"";"Deputado(a)";"Arlindo Chinaglia";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"2023-02-10T00:00:00";"2023-02-10T00:00:00"
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"2002";"81/2000";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/21727";"31/2002";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"MILTON VIEIRA";"https://dadosabertos.camara.leg.br/api/v2/deputados/154178";"238/2023";"";"";"Deputado(a)";"Milton Vieira";"https://dadosabertos.camara.leg.br/api/v2/deputados/154178";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"10";"https://dadosabertos.camara.leg.br/api/v2/grupos/10";"Brasil/Austrália";"1994";"210/1994";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/237152";"74/1994";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"JULIO CESAR RIBEIRO";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"225/2023";"";"";"Deputado(a)";"Julio Cesar Ribeiro";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"11";"https://dadosabertos.camara.leg.br/api/v2/grupos/11";"Brasil/Áustria";"2006";"259/2005";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/296406";"37/2006";"";"0";"1";"1";"";"57";"2023-02-02T00:00:00";"DAVID SOARES";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"324/2023";"";"";"Deputado(a)";"David Soares";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"117";"https://dadosabertos.camara.leg.br/api/v2/grupos/117";"Brasil/Bahrein";"2022";"75/2021";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2306349";"34/2022";"";"0";"0";"1";"";"57";"2023-02-16T00:00:00";"EDUARDO BOLSONARO";"https://dadosabertos.camara.leg.br/api/v2/deputados/92346";"530/2023";"9/2023";"";"Deputado(a)";"Eduardo Bolsonaro";"https://dadosabertos.camara.leg.br/api/v2/deputados/92346";"2023-02-16T00:00:00";"2023-02-16T00:00:00"
"14";"https://dadosabertos.camara.leg.br/api/v2/grupos/14";"Brasil/Bélgica";"1996";"84/1996";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/235980";"9/1996";"";"0";"1";"1";"Há também o PRC 169/98, transformado na Resolução 31/98, que criou este Grupo Parlamentar.";"57";"2023-02-02T00:00:00";"JULIO CESAR RIBEIRO";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"224/2023";"";"";"Deputado(a)";"Julio Cesar Ribeiro";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
