"id";"uri";"nome";"idLegislatura";"dataStatus";"documentoSgm";"presidente";"presidenteUri";"observacao";"oficioTitulo";"oficioAutorTipo";"oficioAutor";"oficioAutorUri";"oficioDataApresentacao";"oficioDataPublicacao"
"99";"https://dadosabertos.camara.leg.br/api/v2/grupos/99";"Associação Interparlamentar de Turismo";"53";"2007-04-04T00:00:00";"";"ÁTILA LINS";"https://dadosabertos.camara.leg.br/api/v2/deputados/74090";"";"";"";"Mariângela Gonçalves Cascão - Chefe de Gabinete do Sen. Efraim Morais";"";"2007-04-04T00:00:00";"2007-04-30T00:00:00"
"99";"https://dadosabertos.camara.leg.br/api/v2/grupos/99";"Associação Interparlamentar de Turismo";"52";"2003-02-28T00:00:00";"947/2003";"EFRAIM MORAIS";"";"";"11/2003";"";"EFRAIM MORAIS";"";"2003-02-28T00:00:00";"2003-03-17T00:00:00"
"99";"https://dadosabertos.camara.leg.br/api/v2/grupos/99";"Associação Interparlamentar de Turismo";"51";"1999-03-03T00:00:00";"701/1999";"ROBSON TUMA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73558";"";"11/1999";"https://dadosabertos.camara.leg.br/api/v2/deputados/73558";"ROBSON TUMA";"";"1999-03-03T00:00:00";""
"1";"https://dadosabertos.camara.leg.br/api/v2/grupos/1";"Brasil/África";"55";"2017-08-18T00:00:00";"4326/2017";"TAKAYAMA";"https://dadosabertos.camara.leg.br/api/v2/deputados/74385";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/74385";"TAKAYAMA";"";"2017-08-18T00:00:00";"2017-08-21T00:00:00"
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"2023-02-02T00:00:00";"233/2023";"MARCELO CRIVELLA";"https://dadosabertos.camara.leg.br/api/v2/deputados/220599";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/220599";"Marcelo Crivella";"";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"56";"2019-03-26T00:00:00";"1444/2019";"DANIEL SILVEIRA";"https://dadosabertos.camara.leg.br/api/v2/deputados/204454";"";"9/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/204454";"DANIEL SILVEIRA";"";"2019-03-26T00:00:00";"2019-03-26T00:00:00"
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"54";"2011-05-10T00:00:00";"3060/2011";"MOACIR MICHELETTO";"https://dadosabertos.camara.leg.br/api/v2/deputados/74238";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/74238";"MOACIR MICHELETTO";"";"2011-05-10T00:00:00";"2011-06-01T00:00:00"
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"53";"2009-03-04T00:00:00";"";"MOACIR MICHELETTO";"https://dadosabertos.camara.leg.br/api/v2/deputados/74238";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/74238";"MOACIR MICHELETTO";"";"2009-03-04T00:00:00";"2009-03-05T00:00:00"
"3";"https://dadosabertos.camara.leg.br/api/v2/grupos/3";"Brasil/Albânia";"54";"2013-10-24T00:00:00";"5376/2013";"PAES LANDIM";"https://dadosabertos.camara.leg.br/api/v2/deputados/74319";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/74319";"PAES LANDIM";"";"2013-10-24T00:00:00";"2013-10-31T00:00:00"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"57";"2023-02-02T00:00:00";"236/2023";"JULIO CESAR RIBEIRO";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/204372";"Julio Cesar Ribeiro";"";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"56";"2019-02-20T00:00:00";"573/2019";"NILSON PINTO";"https://dadosabertos.camara.leg.br/api/v2/deputados/74352";"";"16/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/74352";"NILSON PINTO";"";"2019-02-20T00:00:00";"2019-02-20T00:00:00"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"55";"2015-05-20T00:00:00";"3292/2015";"BENITO GAMA";"https://dadosabertos.camara.leg.br/api/v2/deputados/74535";"";"25/2015";"https://dadosabertos.camara.leg.br/api/v2/deputados/74535";"BENITO GAMA";"";"2015-05-20T00:00:00";"2015-05-20T00:00:00"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"54";"2011-08-24T00:00:00";"5820/2011";"RENATO MOLLING";"https://dadosabertos.camara.leg.br/api/v2/deputados/141527";"";"320/2011";"https://dadosabertos.camara.leg.br/api/v2/deputados/141527";"RENATO MOLLING";"";"2011-08-24T00:00:00";"2011-08-27T00:00:00"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"53";"2007-04-13T00:00:00";"1715/2007";"NILSON PINTO";"https://dadosabertos.camara.leg.br/api/v2/deputados/74352";"";"12/2007";"https://dadosabertos.camara.leg.br/api/v2/deputados/74352";"NILSON PINTO";"";"2007-04-13T00:00:00";"2007-05-07T00:00:00"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"52";"2003-03-19T00:00:00";"";"MARCO MACIEL";"";"";"52/2003";"https://dadosabertos.camara.leg.br/api/v2/deputados/74352";"NILSON PINTO";"";"2003-03-19T00:00:00";"2003-04-23T00:00:00"
"4";"https://dadosabertos.camara.leg.br/api/v2/grupos/4";"Brasil/Alemanha";"50";"1995-03-08T00:00:00";"";"WERNER WANDERER";"https://dadosabertos.camara.leg.br/api/v2/deputados/73792";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/73792";"WERNER WANDERER";"";"1995-03-08T00:00:00";"1995-03-11T00:00:00"
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"57";"2023-02-02T00:00:00";"235/2023";"MÁRCIO MARINHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"Márcio Marinho";"";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"56";"2019-02-04T00:00:00";"276/2019";"MÁRCIO MARINHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"";"2/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"MÁRCIO MARINHO";"";"2019-02-04T00:00:00";"2019-02-04T00:00:00"
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"55";"2015-03-13T00:00:00";"1549/2015";"MÁRCIO MARINHO";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"";"11/2015";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";"MÁRCIO MARINHO";"";"2015-03-13T00:00:00";"2015-03-16T00:00:00"
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"54";"2011-04-29T00:00:00";"";"EDSON SANTOS";"https://dadosabertos.camara.leg.br/api/v2/deputados/141419";"Não foi protocolado ofício, mas apenas a Ata da Reunião de Instalação do Grupo.";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/141419";"EDSON SANTOS";"";"2011-04-29T00:00:00";"2011-05-02T00:00:00"
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"52";"2005-06-24T00:00:00";"";"JOAO ALMEIDA";"https://dadosabertos.camara.leg.br/api/v2/deputados/74549";"";"547/2003";"";"Magda Valentim - Chefe de Gabinete do PSB";"";"2003-07-10T00:00:00";"2003-07-11T00:00:00"
"5";"https://dadosabertos.camara.leg.br/api/v2/grupos/5";"Brasil/Angola";"52";"2003-07-10T00:00:00";"";"EDUARDO CAMPOS";"";"";"547/2003";"";"Magda Valentim - Chefe de Gabinete do PSB";"";"2003-07-10T00:00:00";"2003-07-11T00:00:00"
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"57";"2023-08-30T00:00:00";"1538/2023";"FLÁVIO NOGUEIRA";"https://dadosabertos.camara.leg.br/api/v2/deputados/191923";"";"33/2023";"https://dadosabertos.camara.leg.br/api/v2/deputados/191923";"Flávio Nogueira";"";"2023-06-12T00:00:00";"2023-08-30T00:00:00"
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"55";"2017-05-11T00:00:00";"2330/2017";"FLEXA RIBEIRO";"";"";"4/2017";"";"FLEXA RIBEIRO";"";"2017-05-11T00:00:00";"2017-05-22T00:00:00"
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"54";"2011-10-18T00:00:00";"7311/2011";"ANA ARRAES";"https://dadosabertos.camara.leg.br/api/v2/deputados/141377";"";"261/2011";"https://dadosabertos.camara.leg.br/api/v2/deputados/141377";"ANA ARRAES";"";"2011-10-18T00:00:00";"2011-10-18T00:00:00"
"6";"https://dadosabertos.camara.leg.br/api/v2/grupos/6";"Brasil/Argélia";"52";"2006-09-14T00:00:00";"";"EDUARDO CAMPOS";"https://dadosabertos.camara.leg.br/api/v2/deputados/74416";"Não foi protocolado ofício, mas apenas a Ata de Instalação do Grupo.";"";"";"Jônia Maria Pompeu - Secretária Administrativa";"";"2006-09-14T00:00:00";"2006-09-19T00:00:00"
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"57";"2023-02-10T00:00:00";"388/2023";"ARLINDO CHINAGLIA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"Arlindo Chinaglia";"";"2023-02-10T00:00:00";"2023-02-10T00:00:00"
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"56";"2019-03-26T00:00:00";"1478/2019";"DANIEL SILVEIRA";"https://dadosabertos.camara.leg.br/api/v2/deputados/204454";"";"13/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/204454";"DANIEL SILVEIRA";"";"2019-03-26T00:00:00";"2019-03-26T00:00:00"
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"54";"2011-11-03T00:00:00";"7895/2011";"PAES LANDIM";"https://dadosabertos.camara.leg.br/api/v2/deputados/74319";"";"4/2011";"https://dadosabertos.camara.leg.br/api/v2/deputados/74319";"PAES LANDIM";"";"2011-11-03T00:00:00";"2011-11-08T00:00:00"
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"53";"2008-06-11T00:00:00";"1457/2008";"PAES LANDIM";"https://dadosabertos.camara.leg.br/api/v2/deputados/74319";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/74319";"PAES LANDIM";"";"2008-06-11T00:00:00";"2008-06-17T00:00:00"
"7";"https://dadosabertos.camara.leg.br/api/v2/grupos/7";"Brasil/Argentina";"52";"2003-10-21T00:00:00";"";"MANINHA";"https://dadosabertos.camara.leg.br/api/v2/deputados/74288";"";"195/2003";"https://dadosabertos.camara.leg.br/api/v2/deputados/74288";"MANINHA";"";"2003-10-21T00:00:00";"2003-11-03T00:00:00"
"8";"https://dadosabertos.camara.leg.br/api/v2/grupos/8";"Brasil/Argentina/Uruguai/Paraguai";"57";"2023-02-10T00:00:00";"393/2023";"ARLINDO CHINAGLIA";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/73433";"Arlindo Chinaglia";"";"2023-02-10T00:00:00";"2023-02-10T00:00:00"
"8";"https://dadosabertos.camara.leg.br/api/v2/grupos/8";"Brasil/Argentina/Uruguai/Paraguai";"56";"2019-03-26T00:00:00";"1479/2019";"DANIEL SILVEIRA";"https://dadosabertos.camara.leg.br/api/v2/deputados/204454";"";"12/2019";"https://dadosabertos.camara.leg.br/api/v2/deputados/204454";"DANIEL SILVEIRA";"";"2019-03-26T00:00:00";"2019-03-26T00:00:00"
"9";"https://dadosabertos.camara.leg.br/api/v2/grupos/9";"Brasil/Armênia";"57";"2023-02-02T00:00:00";"238/2023";"MILTON VIEIRA";"https://dadosabertos.camara.leg.br/api/v2/deputados/154178";"";"";"https://dadosabertos.camara.leg.br/api/v2/deputados/154178";"Milton Vieira";"";"2023-02-02T00:00:00";"2023-02-02T00:00:00"
