"idGrupo";"uriGrupo";"nomeGrupo";"membro_idlegislatura";"membro_ordem_entrada";"membro_datainicio";"membro_datafim";"membro_nome";"membro_tipo";"membro_uri";"membro_cargo"
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"0";"2023-02-02T00:00:00";"";"MARCELO CRIVELLA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220599";"Presidente"
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"32";"2023-06-20T00:00:00";"";"VINICIUS CARVALHO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/141555";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"22";"2023-06-20T00:00:00";"";"MÁRCIO MARINHO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/150418";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"13";"2023-06-20T00:00:00";"";"GILBERTO ABRAMO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204491";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"8";"2023-06-20T00:00:00";"";"DAVID SOARES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204511";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"25";"2023-06-20T00:00:00";"";"MARIA ROSAS";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204540";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"26";"2023-06-20T00:00:00";"";"MILTON VIEIRA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/154178";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"10";"2023-06-20T00:00:00";"";"EDUARDO BISMARCK";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204541";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"11";"2023-06-20T00:00:00";"";"EVAIR VIEIRA DE MELO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178871";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"9";"2023-06-20T00:00:00";"";"DELEGADO RAMAGEM";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220619";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"6";"2023-06-20T00:00:00";"";"CELSO SABINO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/204496";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"29";"2023-06-20T00:00:00";"";"PROF. REGINALDO VERAS";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220533";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"28";"2023-06-20T00:00:00";"";"PEZENTI";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/161440";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"31";"2023-06-20T00:00:00";"";"SÓSTENES CAVALCANTE";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178947";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"4";"2023-06-20T00:00:00";"";"CARLOS HENRIQUE GAGUIM";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178993";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"15";"2023-06-20T00:00:00";"";"HELDER SALOMÃO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178873";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"19";"2023-06-20T00:00:00";"";"LÊDA BORGES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220566";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"18";"2023-06-20T00:00:00";"";"JORGE SOLLA";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178857";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"14";"2023-06-20T00:00:00";"";"GILVAN MAXIMO";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220531";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"23";"2023-06-20T00:00:00";"";"MARCOS SOARES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178943";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"27";"2023-06-20T00:00:00";"";"NEWTON CARDOSO JR";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178896";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"1";"2023-06-20T00:00:00";"";"ABILIO BRUNINI";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220593";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"3";"2023-06-20T00:00:00";"";"CARLOS GOMES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/178962";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"2";"2023-06-20T00:00:00";"";"AMOM MANDEL";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220715";""
"2";"https://dadosabertos.camara.leg.br/api/v2/grupos/2";"Brasil/África do Sul";"57";"12";"2023-06-20T00:00:00";"";"GERALDO MENDES";"Deputado(a)";"https://dadosabertos.camara.leg.br/api/v2/deputados/220702";""
