author,popularity,date,idVotacao
Osmar Serraglio,0.0,2003-11-18,143282-5
Poder Executivo,0.0,2003-11-26,145211-10
Poder Executivo,0.7925531914893617,2004-01-21,150930-5
Poder Executivo,0.7925531914893617,2004-01-21,151030-5
Poder Executivo,0.7780748663101604,2004-05-12,252929-5
Poder Executivo,0.8200983836964161,2004-06-01,140174-83
Poder Executivo,0.674712643678161,2004-08-11,140174-133
Poder Executivo,0.6224540486835569,2005-03-02,140375-132
Poder Executivo,0.6224540486835569,2005-03-02,140375-143
Poder Executivo,0.6903317873706742,2005-07-06,279543-44
Poder Executivo,0.6425339366515838,2005-11-29,301190-6
Pedro Canedo,0.0,2005-12-07,292328-188
Pedro Canedo,0.8859934853420195,2005-12-13,292328-204
Poder Executivo,0.6806433084434234,2006-01-25,307925-77
Poder Executivo,0.6878011666243977,2006-01-26,307925-88
Poder Executivo,0.6685172334027296,2006-02-01,307925-109
Senado Federal - Mozarildo Cavalcanti,0.0,2006-02-07,273823-7
Poder Executivo,0.644553819815964,2006-02-07,275322-252
Senado Federal - Jorge Bornhausen,0.0,2006-02-09,298990-78
Senado Federal - Jorge Bornhausen,0.6123076923076923,2006-03-21,298990-146
Poder Executivo,0.6346682371417354,2007-02-12,335937-47
Poder Executivo,0.6346682371417354,2007-02-12,335937-79
Poder Executivo,0.5657872046904638,2007-02-13,307925-175
Senado Federal - César Borges,0.0,2007-02-14,327896-22
Benedito de Lira,0.0,2007-02-15,340369-4
Comissão Parlamentar Mista de Inquérito com a finalidade de investigar as situações de violência e redes de exploração sexual de crianças e adolescentes no Brasil.,0.0,2007-03-13,264293-69
Comissão Parlamentar Mista de Inquérito com a finalidade de investigar as situações de violência e redes de exploração sexual de crianças e adolescentes no Brasil.,0.015267175572519083,2007-03-14,264293-78
Comissão Parlamentar Mista de Inquérito com a finalidade de investigar as situações de violência e redes de exploração sexual de crianças e adolescentes no Brasil.,0.015267175572519083,2007-03-14,264293-88
Comissão Parlamentar Mista de Inquérito com a finalidade de investigar as situações de violência e redes de exploração sexual de crianças e adolescentes no Brasil.,0.26672458731537796,2007-03-15,264293-105
Comissão Parlamentar Mista de Inquérito com a finalidade de investigar as situações de violência e redes de exploração sexual de crianças e adolescentes no Brasil.,0.26672458731537796,2007-03-15,264293-117
Senado Federal - Francisco Dornelles,0.0,2007-05-09,347832-48
Poder Executivo,0.5736,2007-05-23,350571-30
Regis de Oliveira,0.0,2007-05-30,353776-4
Regis de Oliveira,0.8873239436619719,2007-06-13,353741-54
Regis de Oliveira,0.8873239436619719,2007-06-13,353741-67
Senado Federal - Eduardo Siqueira Campos,0.0,2007-06-20,339302-57
Regis de Oliveira,0.5312747426761678,2007-06-27,353741-128
Regis de Oliveira,0.5120093731693028,2007-07-11,353741-160
Regis de Oliveira,0.4958061509785648,2007-08-14,353741-192
Poder Executivo,0.5551399072272931,2007-10-17,371091-7
Poder Executivo,0.5660404011866083,2008-03-11,366816-167
Poder Executivo,0.566146041916967,2008-05-27,377706-66
Poder Executivo,0.5852855514752437,2008-10-29,403395-85
Poder Executivo,0.5852855514752437,2008-10-29,403395-93
Poder Executivo,0.5852855514752437,2008-10-29,403395-126
Poder Executivo,0.5256701499318491,2008-11-04,403395-164
Procuradoria-Geral da República,0.0,2008-11-18,350108-117
Bernardo Ariston,0.0,2008-11-19,364579-61
Senado Federal - Eduardo Azeredo,0.0,2009-02-17,403997-6
Poder Executivo,0.5320829220138203,2009-02-18,406183-14
Bernardo Ariston,0.7368421052631579,2009-02-18,416531-9
William Woo,0.0,2009-02-18,423580-6
Bernardo Ariston,0.8,2009-05-19,112893-218
Bernardo Ariston,0.8,2009-05-19,112893-225
