idVotacao,Cluster
101666-71,1
104342-141,1
104342-99,3
104485-117,2
104509-28,2
104731-67,2
1049075-6,1
1049167-8,1
104964-30,2
1050558-63,1
105060-40,2
1050643-102,1
1050643-110,3
1050643-113,1
1050643-117,3
1050643-121,3
1050643-125,1
1050643-91,1
1050643-96,3
1050643-99,3
1050788-27,1
1050795-6,3
1050835-5,1
1050836-6,1
1050840-6,1
1050845-6,1
1050847-25,3
1050852-8,3
105464-262,2
105464-319,3
105464-326,3
105467-26,2
105832-133,2
106071-101,1
106071-138,1
1063052-105,1
1063052-76,1
108139-30,2
109150-238,0
109175-70,1
109738-37,2
1116134-78,2
112893-218,1
112893-225,1
113267-46,2
113716-111,1
113716-26,2
113716-267,1
113717-114,3
113717-142,3
113717-152,1
113717-171,3
113717-181,1
113717-184,1
113717-189,1
113717-194,3
113717-197,3
113717-200,3
113717-202,3
113717-204,3
113717-230,1
113717-250,3
113717-295,3
113717-44,2
113717-59,4
113717-95,3
114145-58,1
114483-107,2
1150196-33,1
1150196-36,3
1150196-42,3
1150196-47,3
1150196-50,3
1150196-53,3
1150196-59,3
115155-58,1
115441-5,2
115464-2,2
117116-2,2
117121-2,2
117637-2,2
117975-129,1
117975-134,1
117975-155,3
117975-161,1
117975-164,3
117975-180,3
117975-214,3
117975-94,2
118737-2,2
118739-2,2
1194736-11,3
1197773-140,3
1197773-90,1
1197773-99,3
1198512-250,1
1198512-254,3
1198512-257,1
1198512-272,1
1198512-279,1
120186-63,1
120186-68,1
1203158-43,0
1203158-81,1
1203407-4,5
120558-2,2
120645-4,2
1212491-84,2
121430-3,2
1214970-100,3
1214970-60,3
1215346-62,1
1215346-65,3
1215821-38,2
122642-122,2
1228455-65,1
1228455-75,1
1228940-8,1
1229817-63,2
123727-2,2
123975-2,2
125572-116,1
125572-186,1
125572-187,1
125878-41,2
126541-150,3
126541-68,4
126541-98,1
1280621-30,1
128921-2,2
129219-194,1
1301025-111,2
1301128-43,1
1301141-69,2
1301241-77,2
1301437-10,3
1301482-127,3
1301482-142,1
1306652-23,2
1306690-9,3
131591-278,1
131591-284,1
131896-81,2
133652-24,2
134230-3,2
134744-61,2
137513-2,2
138348-2,2
139687-24,2
140174-133,3
140174-83,0
140375-132,1
140375-143,1
140406-31,0
14245-45,2
142458-51,1
142458-64,1
14271-84,1
14312-64,3
14312-65,1
14312-81,1
143282-5,1
14493-226,2
14493-234,2
14493-401,2
14493-442,1
14493-473,3
14493-492,1
14493-500,3
14493-503,1
14493-535,3
14493-536,1
145211-10,4
14541-69,1
145482-25,2
14562-151,2
14562-333,2
14614-68,1
14614-90,1
146214-64,2
14641-68,1
14665-44,1
14666-138,2
14692-79,1
14720-100,1
14720-74,1
14809-111,1
14809-120,1
14809-130,3
14809-139,1
148200-112,1
148200-119,1
14832-101,1
149047-16,2
149095-73,0
150357-107,0
150357-52,0
150357-60,4
150357-80,0
150358-37,2
150359-100,0
150373-73,4
150373-84,0
150399-106,1
150399-149,3
150399-186,1
150399-189,1
150399-195,1
150410-48,1
150410-67,1
1504953-45,3
1504953-55,3
150629-195,0
150629-204,0
150930-5,4
151030-5,4
1514014-82,1
1514136-40,1
1515648-51,4
1515648-58,0
1515648-62,3
1515648-69,3
1515648-96,1
1515649-40,3
1526944-106,1
1526944-127,1
1526944-129,3
1531540-52,2
15318-140,0
153275-100,3
153730-20,0
153730-36,4
153730-70,0
15406-134,2
154096-7,4
154465-44,0
154528-107,0
154528-119,4
154528-49,0
154528-68,4
154538-23,0
154538-56,1
154539-48,0
15460-156,3
15460-165,3
15460-170,3
15460-173,1
15460-176,3
15460-179,1
15460-184,3
15460-200,3
15460-201,1
15471-155,3
1548579-109,0
1548579-114,0
1548579-122,0
1548579-126,1
1548579-144,1
1548579-186,3
1548579-194,1
1549125-71,2
155107-23,2
1554118-8,1
15543-53,2
1555327-87,2
1555340-63,1
1555340-67,1
1555470-234,3
1555470-319,3
1555497-56,2
1555497-62,2
155745-41,2
1570646-104,2
1570646-109,2
1570705-17,1
1570898-35,1
1570899-40,1
1579302-7,1
1579307-2,2
158197-54,0
158197-71,0
158646-28,2
158772-2,2
158782-29,2
158967-2,2
158974-2,2
158987-2,2
158992-2,2
159140-2,2
159151-2,2
159356-2,2
1594437-112,1
1594437-36,1
1594437-46,3
1594437-53,3
1594437-66,3
1594768-93,2
1594899-75,1
1594910-125,1
1594917-39,1
159554-31,3
16299-119,2
1634092-2,2
1635730-28,2
16526-441,2
16526-506,0
16526-556,1
16526-572,3
16526-580,3
16526-582,1
16526-596,1
16713-178,1
16713-190,1
1671673-41,1
1671673-50,3
1671859-8,1
1672013-8,1
1672065-33,0
1672065-44,4
1672065-49,1
1672065-56,1
1672065-70,3
1672065-73,3
1672576-101,0
1672576-109,4
1672576-120,0
1672576-124,3
1672576-128,0
1672576-133,0
1672576-136,4
1672576-141,1
1672576-147,3
1672576-150,3
1672576-153,3
1672576-171,3
1672576-177,3
1672576-193,1
1672576-221,3
1672576-97,0
1673126-82,1
1692929-2,2
1692929-3,2
1693073-2,2
1699254-58,2
1700884-110,4
1700884-45,0
1700884-49,0
1700884-63,0
1700884-69,0
1701050-124,1
1701050-129,3
1701050-140,1
1701050-59,2
1701755-60,1
1712771-52,1
1712931-27,1
1713431-105,2
1713431-120,2
1713431-125,2
1713431-127,2
1715687-106,3
1715687-142,4
1715687-149,1
1715687-69,3
1715687-78,3
1715687-84,1
1715687-98,0
1724716-40,2
17338-178,2
17338-302,1
17338-321,1
17338-382,3
17338-414,3
1734344-6,1
1734739-110,1
1738608-24,2
1738686-32,0
1738686-57,3
1738686-63,3
1738740-118,2
1738740-144,2
1738740-150,2
1738814-86,1
1738814-89,3
1738814-91,3
1738814-99,1
1744988-6,1
1786206-8,1
1805641-58,1
1806248-46,3
1806249-55,3
1806249-68,1
1806553-38,0
1806553-52,0
1806553-70,1
1806553-78,1
1806553-81,1
1806554-39,0
1806554-87,3
18156-127,3
18156-148,1
18156-152,1
18156-154,3
18156-156,3
18180-101,3
18216-226,1
18333-47,2
18454-92,3
18467-129,3
18545-33,2
18774-277,2
19319-71,1
19319-83,3
19319-87,1
19740-49,2
2017205-5,2
2017337-38,3
2018368-36,1
2024315-53,0
2024319-54,2
2024319-69,2
2024319-77,2
2024523-3,2
2024766-31,0
2024766-53,0
2024766-72,3
2025146-115,1
2026012-2,2
20336-101,2
2052482-2,2
2053521-3,2
2053523-4,2
2054465-88,1
2057823-152,2
2058404-34,5
2058404-42,3
2074886-30,2
2075448-116,3
2075925-53,4
2076237-48,3
2076245-42,0
2076245-54,0
2076245-63,4
2076245-83,0
2076264-43,1
2076754-115,2
2076754-124,2
2076811-15,1
2076875-108,2
2077084-30,0
2077084-47,0
2077084-59,0
2077499-15,1
2077621-131,2
2077691-20,1
2077743-67,2
2077743-69,2
2077978-49,1
2078000-2,2
2078295-167,0
2078295-173,0
2078295-180,0
2078295-211,0
2078295-221,3
2078295-224,0
2078295-253,3
2078488-8,4
2078502-37,3
2078502-43,0
2078502-56,4
2078502-67,0
2078503-38,0
2078503-90,1
2078693-63,2
2078693-87,1
2079324-4,2
20794-110,0
20794-121,0
20794-132,0
20794-133,1
20794-92,0
2079477-63,2
2079477-74,2
2079477-80,2
2079700-179,2
2079700-191,2
2079700-200,2
2079700-204,2
2079730-5,1
2079961-38,0
2080237-101,3
2080237-111,0
2080237-117,0
2080237-124,0
2080237-129,1
2080237-142,0
2080237-144,3
2080237-177,0
2080237-180,4
2080237-186,0
2080237-189,4
2080237-192,3
2080237-226,3
2080237-233,0
2080237-260,1
2080237-266,3
2080373-109,1
2080373-138,3
2080373-140,3
2080373-143,1
2080373-153,1
2080373-156,1
2080470-78,1
2080470-86,1
2080604-314,2
2080604-354,1
2080604-358,1
2080604-364,1
2080604-367,3
2080604-371,3
2080604-374,3
2080604-377,3
2080604-380,1
2080604-384,3
2080604-387,3
2080604-390,3
2080604-393,3
2080604-396,1
2080604-399,3
2080604-402,3
2080919-76,1
2080919-87,1
2080937-6,1
2080942-8,4
2081484-6,1
2081629-27,1
2081630-28,1
2081631-28,1
2081729-12,1
2081730-12,1
2081879-12,1
2082293-61,1
2082483-103,1
2082483-112,1
2082511-75,1
2082670-7,1
2083149-6,1
2083179-12,1
2083180-12,1
2083181-12,1
2083183-7,1
2083333-29,2
2083376-47,0
2083376-58,0
2084297-38,0
2084297-51,4
2084401-46,0
2084401-59,4
2084402-37,0
2084402-66,0
2086181-35,2
2086380-8,1
2087004-6,4
2087005-10,1
2087377-58,1
2087377-70,1
2088280-111,3
2088280-114,1
2088280-73,1
2088280-79,1
2088351-200,4
2088351-203,0
2088351-215,0
2088351-220,0
2088351-224,4
2088351-226,0
2088351-232,2
2088351-235,1
2088351-253,0
2088351-256,3
2088351-260,1
2088351-265,3
2088351-268,3
2088351-271,3
2088351-274,4
2088351-278,3
2088351-298,0
2088351-303,4
2088351-310,0
2088351-313,0
2088351-316,0
2088351-320,4
2088351-324,1
2088351-329,0
2088351-330,0
2088351-333,4
2088351-336,4
2088351-339,1
2088351-342,4
2088351-345,4
2088351-348,1
2090241-6,1
2090722-6,1
2091000-106,0
2091283-8,1
2091284-8,1
2091285-14,3
2091835-46,2
2092057-52,2
2092339-66,2
2092382-35,0
2092382-40,4
2092382-69,1
2092382-78,3
2092382-82,1
2092382-87,4
2093451-19,1
2094936-23,1
2110829-59,3
2110829-65,1
2110829-68,3
2112064-56,0
2112064-71,3
2112490-105,1
2112490-107,3
2112490-110,1
2112490-118,1
2112490-124,3
2112490-44,0
2112490-59,0
2112490-66,1
2112490-92,3
2112490-95,3
2112586-40,3
2112586-54,1
2112734-50,2
2113486-8,4
2114626-17,1
2115253-104,3
2115253-111,3
2115253-116,3
2115253-118,3
2115253-156,3
2115253-167,3
2115253-172,0
2115253-175,1
2115253-179,1
2115253-183,1
2116221-9,1
2116257-9,4
2116870-47,1
2118401-208,3
2118401-219,3
2118401-221,1
2118401-230,1
2118401-246,1
2118401-251,1
2118401-254,1
2118401-258,1
2118401-274,1
2118401-293,1
2118401-296,3
2118401-301,3
2118402-63,1
2118464-49,3
2118464-64,1
2118464-84,0
2120382-10,1
2121416-30,2
2121789-54,2
2121837-38,3
2121839-48,0
2121839-63,4
2121839-78,4
2121839-84,0
2121839-88,4
2121839-91,4
2121843-40,1
2121849-101,4
2121849-41,0
2121849-56,0
2121849-60,4
2121849-63,4
2121849-67,0
2121849-83,4
2122076-298,0
2122076-304,0
2122076-316,0
2122076-324,1
2122076-348,1
2122076-358,1
2122076-371,1
2122076-387,3
2122076-391,3
2122078-122,0
2122078-128,0
2122078-136,4
2122078-139,0
2122078-146,4
2122082-40,0
2122082-53,0
2122082-68,0
2122082-76,0
2122129-45,0
2123066-5,1
2123646-69,2
2123843-59,3
2123843-66,1
2123843-93,1
2123896-64,2
2124451-104,4
2124451-108,0
2124451-124,0
2124451-130,1
2124451-154,0
2124451-156,4
2124451-160,4
2124451-167,0
2124451-170,1
2124451-173,3
2124451-176,1
2124451-191,4
2124451-195,1
2124451-201,0
2124451-203,3
2124451-206,1
2124451-33,0
2124451-41,0
2124451-52,0
2124451-56,4
2124451-73,0
2124451-80,0
2124451-99,4
2124707-9,1
2124774-6,1
2125012-7,4
2125189-130,2
2125189-161,3
2125189-174,3
2125189-176,1
2125189-180,3
2125189-191,1
2125189-74,2
2125277-5,1
2127233-43,0
2127233-55,0
2127233-62,0
2127233-65,0
2127235-6,1
2127681-64,2
2127797-55,0
2127797-64,0
2127797-70,0
2127797-84,1
2127803-41,0
2127803-52,0
2127803-59,0
2127803-75,4
2127803-86,0
2128135-56,2
2128135-61,2
2128135-67,2
2128135-72,2
2128869-89,1
2129185-69,0
2129185-75,0
2129185-86,1
2129647-5,1
2129925-6,1
21306-49,1
2131088-64,2
2132523-80,1
2132524-104,0
2132524-113,4
2132524-36,0
2132524-40,4
2132524-45,0
2132524-64,4
2132524-69,4
2132524-73,0
2132524-78,0
2132902-18,4
2133009-120,2
2133009-126,2
2136580-62,1
2137715-10,1
2137734-51,1
2138678-44,1
2138679-44,0
2138679-55,4
2138679-65,4
2138680-43,2
2138680-57,2
2138707-3,2
2138773-6,2
2138918-54,3
2139049-52,2
21391-47,1
2139214-8,1
2139901-5,1
2139967-38,3
2139967-42,1
2139967-68,3
2139981-110,3
2139981-124,3
2139981-128,1
2139981-131,1
2139981-44,0
2139981-58,3
2139981-70,1
2139981-96,3
21400-240,1
2140098-34,2
2141401-6,1
2141497-80,2
2142691-14,4
2143164-116,2
2143164-126,1
2143164-135,3
2143692-2,2
2144465-45,0
2144465-55,3
2144465-61,3
2144465-77,1
2144995-104,0
2144995-99,3
2145275-48,3
2145819-51,3
2145822-60,1
2146350-85,2
2146750-44,2
2147241-38,0
2147241-44,3
2147241-47,3
2147241-51,4
2147241-54,0
2147241-60,4
2147241-66,1
2147241-69,3
2147241-72,4
2147513-112,2
2147513-140,2
2147513-171,2
2147513-92,2
2147513-99,2
2148085-80,2
2148437-104,1
2148437-123,3
2148437-158,0
2148437-171,3
2148437-44,0
2148437-58,0
2148437-84,1
2148736-45,2
2149303-50,1
2149372-22,4
2149529-2,2
2149785-72,1
2150163-78,2
2151922-57,0
2151922-66,0
2151995-58,1
2151995-82,3
2152544-73,3
2152748-80,2
2153100-53,3
2153100-59,3
2153290-6,3
2153714-7,1
2156331-35,0
2156331-50,0
2156497-8,4
21571-106,3
21571-116,1
21571-127,3
21571-130,1
21571-133,1
21571-139,1
21571-141,1
21571-143,1
21571-148,1
21571-151,1
21571-154,1
21571-156,1
2158425-105,0
2158425-108,0
2158425-111,0
2158425-114,4
2158425-120,0
2158425-147,0
2158425-150,2
2158425-154,0
2158425-38,0
2158425-41,0
2158425-52,0
2158425-62,4
2158425-87,0
21585-100,1
2158536-10,4
2158716-112,1
2158716-139,1
2158716-143,3
2160441-100,2
2160441-82,2
2160441-90,2
2160639-11,4
2160695-2,2
2160695-7,2
2160860-118,0
2160860-131,0
2160860-165,3
2160860-168,1
2160860-173,0
2160860-176,1
2160860-178,3
2160860-181,3
2160860-184,4
2160860-187,1
2160860-190,1
2160860-198,0
2160860-202,3
2160860-213,1
2160860-52,0
2160860-55,0
2160860-58,0
2160860-65,4
2160860-84,0
2160860-93,1
2162525-6,1
2162566-7,1
2163629-6,1
2163986-7,1
2164132-54,1
2164132-60,1
2164134-31,1
2164234-101,0
2164234-103,4
2164234-106,4
2164234-109,4
2164234-113,4
2164234-38,0
2164234-47,0
2164234-52,0
2164234-57,0
2164234-63,0
2164234-70,0
2164234-73,4
2164234-77,4
2164234-79,0
2164234-81,4
2164234-87,0
2164332-6,1
2164345-72,2
2164596-9,1
2164719-7,1
2165194-100,1
2165194-102,3
2165194-103,1
2165194-130,1
2165194-96,3
2165578-43,0
2165578-55,0
2165578-61,0
2165578-69,0
2166092-33,3
2166260-19,1
2166464-128,1
2166464-132,3
2166464-52,0
2166595-59,1
2166595-61,1
2166595-65,1
2166600-80,3
2166600-81,1
2166600-89,3
2166600-91,1
2166600-93,1
2166877-73,1
2166877-79,3
2166878-66,2
2166882-73,2
2166882-95,2
2167507-100,0
2167507-107,4
2167507-112,3
2167507-118,4
2167507-125,0
2167507-49,4
2167507-52,0
2167507-55,0
2167507-59,0
2167507-65,4
2167507-76,0
2167507-81,0
2167507-87,4
2167543-40,0
2167882-83,1
2167938-18,0
2167938-21,0
2168064-12,0
2168064-15,0
2168064-19,1
2168064-9,4
2168250-55,2
2168386-45,1
2169217-6,4
2169397-9,1
2170483-6,4
2170496-89,2
2170504-45,2
2171314-10,3
2173096-10,1
2173291-6,4
2173680-62,1
2173759-7,1
2174273-7,1
2175597-7,1
2175857-4,5
2175977-108,2
2175977-119,2
2175977-128,2
2175977-137,2
2175977-139,2
2176886-79,1
2177118-7,1
2177451-109,3
2177451-123,3
2177451-126,3
2177451-129,3
2177451-131,3
2177451-57,4
2177451-73,0
2177451-75,0
2177451-78,0
2177451-83,0
2177451-86,4
2177451-90,1
2177527-62,2
2177527-66,2
2178170-53,1
2178170-58,1
2178408-157,3
2178408-165,1
2178408-173,1
2179189-45,0
2179189-59,0
2180386-73,2
2180608-7,4
2180710-5,4
2181260-40,0
2181260-53,1
2181260-73,3
2181260-81,3
2182065-64,3
2182065-70,3
2182520-69,2
2182535-20,0
2182535-22,3
2182658-64,2
2182708-94,2
2183306-45,0
2183306-48,4
2183943-68,1
2184326-102,1
2184326-98,1
2184458-106,3
2184458-111,1
2184458-115,3
2184458-123,1
2184458-127,1
2184458-131,1
2184458-161,3
2184458-169,1
2184458-172,3
2184458-184,1
2184458-92,3
2184973-58,1
2184973-62,1
2184973-65,3
2184973-71,1
2184973-76,1
2186530-6,1
2186621-101,1
2186621-115,1
2186621-64,3
2186777-31,3
2186777-35,1
2186805-6,4
2187020-9,1
2187087-144,3
2187087-155,0
2187087-162,0
2187087-169,0
2187087-172,0
2187087-174,3
2187087-179,3
2187087-182,3
2187087-185,3
2187087-189,3
2187087-192,3
2187087-194,3
2187087-196,3
2187087-39,3
2187087-53,3
2187087-60,1
2187087-67,3
2187087-99,3
2187635-29,2
2187737-39,2
2187737-40,2
2188301-38,0
2188301-41,0
2188301-45,4
2188301-48,4
2188301-50,0
2188301-57,0
2188301-59,4
2188301-62,4
2188301-65,4
2188690-32,1
2189858-42,0
2189858-45,0
2189858-49,0
2189858-53,0
2189858-73,3
2190084-79,1
2190084-88,1
2190084-93,1
2190190-68,1
2190237-103,4
2190237-105,4
2190237-108,4
2190237-111,4
2190237-114,4
2190237-117,0
2190237-37,0
2190237-40,3
2190237-47,0
2190237-50,4
2190237-54,0
2190237-57,0
2190237-60,4
2190237-66,0
2190237-69,4
2190237-72,3
2190237-76,4
2190237-80,4
2190237-82,4
2190237-86,4
2190237-94,0
2190237-97,4
2190237-99,0
2190265-63,1
2190288-81,3
2190355-51,0
2190355-74,1
2190355-84,3
2190355-87,3
2190355-90,1
2190518-34,2
2190638-32,2
2190707-68,2
2190730-67,1
2190822-75,2
2190822-86,2
2190822-89,2
2190880-37,3
2190986-104,2
2190986-112,2
2190986-125,2
2190986-74,2
2191126-33,2
2191205-43,3
2191205-54,3
2191205-76,3
2191205-79,1
2191403-90,2
2191628-32,2
2191686-54,2
2191844-54,2
2191844-62,2
2191944-53,2
2192288-85,2
2192300-10,1
2192459-114,2
2192459-503,2
2192459-588,3
2192459-591,3
2192459-601,1
2192459-609,0
2192459-612,0
2192459-616,4
2192459-619,0
2192459-625,0
2192459-636,1
2192459-640,1
2192459-646,0
2192459-649,1
2192459-653,1
2192459-657,1
2192459-662,0
2192459-665,1
2192459-668,1
2192459-671,3
2192459-690,0
2192459-692,3
2192459-696,1
2192459-704,3
2192459-705,0
2192459-724,1
2192459-727,1
2192459-730,1
2192459-734,1
2192459-741,2
2192459-757,0
2192459-763,4
2192459-772,0
2192459-775,0
2192459-779,4
2192459-781,0
2192459-786,1
2192459-794,0
2192459-795,1
2192459-798,1
2192459-804,1
2192459-807,1
2192459-810,1
2192459-813,1
2192459-816,1
2192459-819,1
2192901-54,2
2193081-64,2
2193334-53,2
2193540-135,3
2193540-77,3
2193564-40,0
2193564-43,0
2193564-54,0
2193564-57,4
2193587-69,2
2193587-83,2
2193670-52,2
2193787-58,2
2193789-38,2
2193953-77,2
2193953-78,2
2194357-6,4
2194442-74,3
2194540-7,1
2194587-127,2
2194587-137,2
2194587-146,2
2194587-150,2
2194587-154,2
2194587-158,2
2194587-166,2
2194587-170,2
2194587-175,2
2194587-178,2
2194587-179,2
2194587-180,2
2194646-123,3
2194646-126,3
2194646-130,3
2194861-62,3
2194861-66,3
2194861-73,3
2194861-77,1
2194861-79,1
2194861-82,1
2194861-85,1
2194861-91,1
2194861-94,1
2194899-100,1
2194899-103,1
2194899-107,1
2194899-109,3
2194899-116,3
2194899-125,1
2194899-137,1
2194899-141,1
2194899-91,3
2194899-96,3
2195203-81,2
2195634-67,2
2195869-30,2
2196355-66,1
2196486-105,2
2196486-79,2
2196486-92,2
2196833-307,3
2196833-323,3
2196833-326,1
2196833-328,1
2196833-331,1
2196833-349,1
2196833-353,1
2196833-356,1
2196833-359,1
2196833-362,1
2196833-365,1
2196833-373,1
2196833-380,1
2196833-386,1
2196833-390,4
2196833-392,4
2196833-395,1
2197160-52,1
2197160-54,1
2197160-57,1
2197160-60,3
2197160-67,1
2197504-87,1
2197956-43,2
2198163-46,2
2198163-54,2
2199215-101,3
2199215-104,3
2199215-107,3
2199215-112,3
2199215-162,3
2199215-59,3
2199215-68,3
2199215-82,3
2199215-85,1
2199215-94,3
2199215-97,3
2199310-35,0
2199310-38,3
2199310-43,3
2199310-46,3
2199310-51,0
2199310-55,0
2199763-38,0
2199763-44,0
2199763-49,4
2199763-53,1
2199763-58,1
2199763-66,3
2199763-71,1
2199763-74,1
2199763-77,1
2199763-79,3
2199763-83,1
2199763-88,1
2199763-91,3
2200802-2,2
2200900-17,4
2201529-33,3
2201532-39,3
2203106-13,1
2203957-115,1
2203957-123,1
2203957-126,3
2203957-157,1
2203957-159,3
2203957-163,3
2203957-166,3
2203957-170,3
2203957-177,1
2204056-138,0
2204056-146,3
2204056-153,0
2204056-174,0
2204056-183,0
2204056-190,1
2204088-80,0
2204088-85,0
2204088-88,1
2204433-51,2
2205254-76,1
2205332-41,2
2205388-70,2
2205645-102,1
2205645-105,1
2205645-110,1
2205645-113,3
2205645-121,3
2205645-174,1
2205645-176,3
2205645-179,3
2205645-183,1
2205645-60,3
2205645-74,3
2205645-77,1
2205645-82,3
2205645-92,3
2205645-99,3
2206168-106,2
2206203-119,3
2206203-138,1
2206203-146,3
2206203-165,3
2206203-171,3
2206203-177,3
2206203-188,1
2206203-197,3
2206203-200,3
2206203-220,3
2206203-223,3
2206203-231,1
2206203-234,1
2206203-239,1
2206395-51,1
2206395-55,3
2206395-58,3
2206395-99,3
2206678-34,2
2207066-109,2
2207429-60,1
2207613-130,0
2207613-135,4
2207613-144,0
2207613-147,0
2207613-150,4
2207613-154,4
2207613-156,0
2207613-160,0
2207613-166,4
2207613-167,1
2207613-171,0
2207613-174,4
2207613-180,1
2207613-183,4
2207613-192,0
2207613-195,4
2207613-203,0
2207613-205,4
2207613-209,3
2207613-213,3
2207767-59,2
