descricao
"** Aprovado o Requerimento do Dep. Daniel Coelho (PSDB-PE), que solicita preferência para apreciação do PL nº 7.699/2006, item 3, sobre os demais itens da pauta."
"** Aprovado o Requerimento do Dep. Jovair Arantes, Líder do PTB, que solicita preferência para apreciação do Projeto de Lei nº 4.246/2012, item 6, sobre os demais itens da pauta."
"** Aprovado o Requerimento do Dep. Paulo Teixeira, na qualidade de Líder do Governo, que solicita preferência para apreciação da ordem do dia na seguinte sequência: 1º) PL nº 6.459 de 2013; 2º) PL nº 1.805 de 2015; 3º) PL nº 3.490 de 2012; 4º) PLP nº 163 de 2015; 5º) PL nº 466 de 2015; 6º) PL nº 3.561 de 2015; 7º) PRC nº 109 de 2015; 8º) PL nº 1.428 de 1999; 9) PRC nº 8 de 2007; seguidos dos demais itens."
"** Aprovado o Requerimento do Dep. Paulo Teixeira, na qualidade de Líder do Governo, que solicita preferência para apreciação da ordem do dia na seguinte sequência: 1º) PL nº 6.459 de 2013; 2º) PL nº 1.805 de 2015; 3º) PL nº 3.490 de 2012; 4º) PLP nº 163 de 2015; 5º) PL nº 466 de 2015; 6º) PL nº 3.561 de 2015; 7º) PRC nº 109 de 2015; 8º) PL nº 1.428 de 1999; 9º) PRC nº 8 de 2007; seguidos dos demais itens."
** Aprovado o Requerimento.
"** Rejeitado o Requerimento do Dep. Ságuas Moraes, na qualidade de Líder do PT, que solicita inversão da pauta, para que o Projeto de Lei nº 2.479/2000 seja votado primeiramente, renumerando-se os demais itens da pauta."
"*** Aprovado o Requerimento do Dep. Onyx Lorenzoni, na qualidade de Líder  do DEM, que solicita preferência para apreciação do PDC nº 84 de 2015 sobre os demais itens da pauta."
"*** Aprovado o Requerimento do Dep. Onyx Lorenzoni, na qualidade de Líder do DEM, que solicita preferência para apreciação do PDC nº 84 de 2015 sobre os demais itens da pauta."
*** Aprovado o Requerimento do Dep. Simão Sessim (PP-RJ) que solicita preferência para apreciação do PL nº 7.664/2014 sobre os demais itens da pauta.
"*** Rejeitada a modificação na Ordem do Dia decorrente de consulta formulada pelo Presidente, nos termos do § 1º do art. 160 do Regimento Interno, em face do encaminhamento, à Mesa, de mais de cinco requerimentos de preferência."
"*** Votação, em turno único, do Projeto de Lei nº 3.232 de 1992, principal (Sessão Deliberativa Ordinária de 20/10/2015). 
Encaminhou a Votação o Dep. Afonso Florence (PT-BA). 
Votação do requerimento da bancada do PR, que solicita DESTAQUE DE PREFERÊNCIA PARA O PROJETO DE LEI Nº 6.446/2013, APENSADO - DTQ 3. 
APROVADO O DESTAQUE DE PREFERÊNCIA. 
Prejudicado o destaque de preferência da bancada do PCdoB, para votação do Projeto de Lei nº 6.446/2013, apensado - DTQ 4. 
Rejeitadas as Emendas de Plenário nºs 1 e 2, com pareceres pela rejeição, ressalvados os destaques. 
Em razão do resultado proclamado pela Mesa: ""Aprovado o Projeto de Lei nº 6.446 de 2013"" (em processo simbólico), foi solicitada a verificação da votação pelos Deputados Daniel Coelho, na qualidade de Líder do PSDB; e Alex Manente (PPS-SP), passando-se à sua votação pelo processo nominal. 
APROVADO O PROJETO DE LEI Nº 6.446 DE 2013, APENSADO, ressalvados os destaques. Sim: 318; não: 79; abstenção: 1; total: 398.  
Ficam prejudicados o Projeto de Lei nº 3.232/1992, principal; o Substitutivo da Comissão de Seguridade Social e Família; o Substitutivo da Comissão de Constituição e Justiça e de Cidadania; e os Projetos de Lei de nºs 6.045/90, 192/91, 276/91, 506/91, 750/91, 1.439/91, 1.539/91, 2.065/91, 2.735/92, 2.741/92, 3.779/97, 4.667/98, 592/99, 2.937/00, 3.562/04. 5.322/09, 1.112/11, 1.744/11, 2.270/11, 2.450/11, 3.406/12, 3.523/12 e 7.175/14, apensados, ressalvados os destaques. 
Votação do § 3º do art. 5º do Projeto de Lei nº 6.446/2013, apensado, objeto do destaque para votação em separado da bancada do Bloco PP,PROS (bloco conforme data da apresentação do destaque) - DTQ 1. 
Encaminharam a Votação: Dep. Wadih Damous (PT-RJ) e Dep. Damião Feliciano (PDT-PB). 
Suprimido o texto destacado. 
Prejudicado o destaque da bancada do PSDB, para votação em separado do § 3º do art. 5º do Projeto de Lei nº 6.446/2013, apensado - DTQ 5. 
Prejudicado o destaque da bancada do DEM, para votação em separado do § 3º do art. 5º do Projeto de Lei nº 6.446/2013, apensado - DTQ 9. 
Votação da Emenda de Plenário nº 2, objeto do destaque da bancada do PSD - DTQ 10. 
Encaminhou a Votação o Dep. Wadih Damous (PT-RJ). 
Rejeitada a Emenda de Plenário nº 2. 
Votação da Emenda de Plenário nº 1, objeto do destaque da bancada do Bloco PP,PROS (bloco conforme data da apresentação do destaque) - DTQ 2. 
Encaminharam a Votação: Dep. Wadih Damous (PT-RJ) e Dep. Pompeo de Mattos (PDT-RS). 
Rejeitada a Emenda de Plenário nº 1. Sim: 206; não: 219; abstenção: 1; total: 426 (votação nominal, de ofício)
Prejudicado o destaque da bancada do DEM, para votação da Emenda de Plenário nº 1 - DTQ 7. 
Votação da expressão ""em juízo colegiado prévio"" constante do art. 10 do Projeto de Lei nº 6.446/2013, apensado, objeto do destaque para votação em separado da bancada do PSDB - DTQ 6. 
Em razão do resultado proclamado pela Mesa: ""Mantida a expressão"" (em processo simbólico), foi solicitada a verificação da votação pelo Deputado Daniel Coelho, na qualidade de Líder do PSDB, passando-se à sua votação pelo processo nominal.
Mantida a expressão destacada. Sim: 273; não: 145; abstenção: 1; total: 419.
Votação do art. 2º do Projeto de Lei nº 7.175/2014, apensado, para incluir o referido dispositivo onde couber, objeto do destaque para votação em separado da bancada do PSB - DTQ 8. 
Encaminhou a Votação o Dep. Heitor Schuch (PSB-RS). 
Adiada a continuação da votação em face do encerramento da Sessão."
"********************************************
Continuação da votação em turno único (Sessão Deliberativa Extraordinária de 10/03/2015 - 20:01).
Retirado pelo autor, Dep. Ságuas Moraes, na qualidade de Líder do PT, o requerimento que solicita que a votação seja feita artigo por artigo.
Rejeitadas as Emendas de Plenário de nºs 1 a 4, com pareceres pela rejeição, ressalvados os destaques.
APROVADO O PROJETO DE LEI Nº 7.469 DE 2014, APENSADO, RESSALVADOS OS DESTAQUES.
Ficam prejudicados o Projeto de Lei nº 3.771/2012, principal; e os Projetos de Lei de nºs 7.185/14, 165/15, 220/15, 7.703/14 e 7.731/14, apensados, ressalvados os destaques.
Adiada a continuação da votação por acordo dos Srs. Líderes (PL 7.469-B/2014)."
"***Aprovado o Requerimento do Dep. Otávio Leite, na qualidade de Líder do PSDB, que solicita preferência para apreciação do Projeto de Lei nº 5.559/2009 como item 1, renumerando-se os demais."
"***Continuação da votação em turno único. (Sessão Deliberativa Extraordinária de 20/10/2015 - 20:01)
Votação do art. 2º do Projeto de Lei nº 7.175/2014, apensado, para incluir o referido dispositivo onde couber, objeto do destaque para votação em separado da bancada do PSB - DTQ 8. 
Aprovado o artigo destacado. 
Votação da Redação Final. 
Aprovada a Redação Final assinada pelo Relator, Dep. Arthur Oliveira Maia (SD-BA).
A matéria retorna ao Senado Federal (PL 6.446-A/2013)."
"**Aprovado o Requerimento  do Dep. José Guimarães, Líder do Governo, que solicita preferência para apreciação da ordem do dia na seguinte ordem: 1º) MPV nº 699 de 2015; 2º) MPV nº 709 de 2015 ; 3º) PL nº 583 de 2007 ;  4º) PDC nº 84 de 2015; 5º) PL nº 4073 de 2015; 6º) PL 36 de 2015; 7º) PL 173 de 2015 e 8º) PL 4409 de 2016 , seguidos dos demais itens."
"**Aprovado o Requerimento do Dep. Eduardo Cunha, Líder do PMDB, que solicita preferência para votação do Recurso nº 155/2011 sobre os demais itens da pauta."
"**Aprovado o Requerimento do Dep. José Guimarães, Líder do Governo, que solicita a apreciação da pauta na seguinte ordem: PL 2.505/2000; PL 3.481/2012; PL 8.122/2014; PRC 267/2014; PDC 1.570/2001, PL 779/1995; PL 6.701/2013 e PLP 13/2015, renumerando-se os demais itens. (Passou-se à apreciação da pauta segundo a ordem aprovada)"
"**Aprovado o Requerimento do Dep. José Guimarães, Líder do Governo, que solicita preferência para apreciação da ordem do dia na seguinte sequência: 1º) PL nº 3.030 de 2015; 2º) PL nº 8.194 de 2014; 3º) PL nº 4.742 de 2001; 4º) PL nº 3.763 de 2004; 5º) PL nº 4.923 de 2013; 6º) PL nº 466 de 2015; 7º) PL nº 1.805 de 2015; 8º) PDC nº 234 de 2015; 9º) PL nº 3.561 de 2015; 10) PRC nº 109 de 2015; 11) PL 1.428 de 1999; seguidos dos demais itens."
"**Aprovado o Requerimento do Dep. Nilson Leitão, na qualidade de Líder do PSDB, que solicita preferência para que Projeto de Lei nº 6.920/2010 seja apreciado como item 4 da pauta. (Passou-se à apreciação do PL nº 6.920/2010)"
**Aprovado o Requerimento. (Passou-se à apreciação da pauta conforme a ordem aprovada).
"*Aprovado o Requerimento do Dep. José Guimarães, Líder do Governo, que solicita a apreciação da pauta na seguinte ordem: PL 2.505/2000; PL 3.481/2012; PL 8.122/2014; PRC 267/2014; PDC 1.570/2001, PL 779/1995; PL 6.701/2013 e PLP 13/2015, renumerando-se os demais itens. (Passou-se à apreciação da pauta segundo a ordem aprovada)."
A matéria vai ao Senado Federal (PL 5.607-A/2009).
"A matéria vai à sanção (PL 7.177-F/2002).
DCD do dia 08/11/12 PÁG 35965 COL 02."
"APROVADA A REDAÇÃO FINAL ASSINADA PELO RELATOR, DEP. ARNALDO FARIA DE SÁ (PTB-SP)."
APROVADO O PROJETO DE LEI Nº 3.941/89.
"APROVADO O REQUERIMENTO DO DEP. ANTONIO CARLOS MAGALHÃES NETO, LÍDER DO DEM, QUE SOLICITA DESTAQUE DE PREFERÊNCIA PARA VOTAÇÃO DO PL 3.941/89 SOBRE O SUBSTITUTIVO ADOTADO PELA COMISSÃO DE TRABALHO, DE ADMINISTRAÇÃO E SERVIÇO PÚBLICO."
APROVAÇÃO DO REQUERIMENTO 527/03 DOS SENHORES LÍDERES QUE SOLICITA - NOS TERMOS DO ARTIGO 155 DO RI - URGÊNCIA PARA ESTE PROJETO. DCD 03 04 03 PÁG 12343 COL 02.
"APROVAÇÃO DO REQUERIMENTO 578/03, DOS DEPUTADOS BISMARK MAIA, LIDERANÇA DO PSDB, JOSÉ CARLOS ALELUIA, LIDERANÇA DO DEM E PEDRO HENRY, LIDERANÇA DO PP, QUE SOLICITA - NOS TERMOS DO ARTIGO 155 DO RI - URGÊNCIA PARA O PL 3016/2000, APENSADO. DCD 03 04 03 PÁG 12346 COL 01."
Acrescentado o dispositivo.
Alteração do Regime de Tramitação desta em virtude da Aprovação da REQ 1247/2003 => PL 1503/2003.
"Alteração do Regime de Tramitação desta em virtude da alteração do regime do PAR 1 CTASP => PL 3384/2000, por ter sido Aprovação da REQ 821/2003 => PAR 1 CTASP => PL 3384/2000 que está apensado ao primeiro."
Alteração do Regime de Tramitação desta em virtude da aprovação de requerimento de urgência.
Alteração do Regime de Tramitação desta em virtude da aprovação do REQ 1355/2003 => PL 1628/2003.
Alteração do Regime de Tramitação desta em virtude da aprovação do requerimento de urgência.
Alteração do Regime de Tramitação desta em virtude de aprovação de requerimento de urgência.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 1034/2007 => PL 65/2003.
Alteração do Regime de Tramitação desta proposição em virtude da Aprovação da REQ 1083/2007 => PL 1210/2007.
